tempo,PWM,RPM
7.449,116.583,1380.0
7.459,116.651,1380.0
7.469,116.719,1380.0
7.479,101.118,1410.0
7.489,116.753,1380.0
7.499,116.821,1380.0
7.51,116.889,1380.0
7.519,101.288,1410.0
7.529,116.923,1380.0
7.539,116.991,1380.0
7.549,101.39,1410.0
7.559,101.356,1410.0
7.569,116.991,1380.0
7.579,132.728,1350.0
7.589,101.56,1410.0
7.599,117.195,1380.0
7.609,101.594,1410.0
7.619,117.229,1380.0
7.629,101.628,1410.0
7.639,117.263,1380.0
7.649,117.331,1380.0
7.659,117.399,1380.0
7.669,101.798,1410.0
7.68,117.433,1380.0
7.689,117.501,1380.0
7.699,101.9,1410.0
7.709,117.535,1380.0
7.719,101.934,1410.0
7.729,117.569,1380.0
7.739,117.637,1380.0
7.749,117.705,1380.0
7.759,102.104,1410.0
7.769,117.739,1380.0
7.779,117.807,1380.0
7.789,102.206,1410.0
7.799,117.841,1380.0
7.809,102.24,1410.0
7.819,117.875,1380.0
7.829,117.943,1380.0
7.839,102.342,1410.0
7.849,117.977,1380.0
7.859,118.045,1380.0
7.869,118.113,1380.0
7.879,102.512,1410.0
7.889,102.478,1410.0
7.899,118.113,1380.0
7.909,118.181,1380.0
7.919,118.249,1380.0
7.929,102.648,1410.0
7.939,118.283,1380.0
7.949,102.682,1410.0
7.959,118.317,1380.0
7.969,102.716,1410.0
7.98,118.351,1380.0
7.989,118.419,1380.0
7.999,102.818,1410.0
8.009,118.453,1380.0
8.019,102.852,1410.0
8.029,118.487,1380.0
8.039,118.555,1380.0
8.049,102.954,1410.0
8.059,118.589,1380.0
8.069,102.988,1410.0
8.079,118.623,1380.0
8.089,118.691,1380.0
8.099,118.759,1380.0
8.109,103.158,1410.0
8.119,103.124,1410.0
8.129,118.759,1380.0
8.139,118.827,1380.0
8.15,103.226,1410.0
8.159,118.861,1380.0
8.169,103.26,1410.0
8.179,118.895,1380.0
8.189,118.963,1380.0
8.199,103.362,1410.0
8.209,118.997,1380.0
8.219,103.396,1410.0
8.229,119.031,1380.0
8.239,103.43,1410.0
8.249,119.065,1380.0
8.259,103.464,1410.0
8.269,119.099,1380.0
8.279,119.167,1380.0
8.289,103.566,1410.0
8.299,103.532,1410.0
8.309,119.167,1380.0
8.32,119.235,1380.0
8.329,103.634,1410.0
8.339,119.269,1380.0
8.349,103.668,1410.0
8.359,119.303,1380.0
8.369,119.371,1380.0
8.379,103.77,1410.0
8.389,103.736,1410.0
8.399,119.371,1380.0
8.409,119.439,1380.0
8.419,103.838,1410.0
8.429,103.804,1410.0
