tempo,erro,velocidade
14.19,0.03,1485.29
14.21,0.03,1472.57
14.23,0.03,1484.72
14.25,0.03,1485.58
14.27,0.03,1485.01
14.29,0.03,1471.72
14.31,0.03,1486.15
14.33,0.03,1485.86
14.36,0.03,1484.72
14.38,0.03,1485.01
14.4,0.03,1471.72
14.42,0.02,1500.0
14.44,0.03,1485.01
14.46,0.03,1471.72
14.48,0.03,1486.43
14.5,0.02,1497.41
14.52,0.03,1473.7
14.54,0.03,1484.15
14.56,0.03,1471.72
14.58,0.02,1500.0
14.6,0.03,1472.0
14.63,0.03,1484.44
14.65,0.03,1484.72
14.67,0.03,1486.72
14.69,0.03,1485.58
14.71,0.03,1471.44
14.73,0.03,1486.15
14.75,0.03,1485.58
14.77,0.03,1484.72
14.79,0.03,1485.01
14.81,0.03,1485.29
14.83,0.03,1484.72
14.85,0.03,1472.85
14.88,0.03,1485.58
14.9,0.03,1485.58
14.92,0.03,1485.01
14.94,0.03,1471.72
14.96,0.03,1486.43
14.98,0.03,1485.58
15.0,0.03,1485.58
15.02,0.03,1484.15
15.04,0.03,1471.72
15.06,0.02,1499.42
15.08,0.03,1471.72
15.1,0.03,1486.43
15.13,0.03,1484.15
15.15,0.03,1487.01
15.17,0.03,1483.86
15.19,0.03,1472.0
15.21,0.03,1486.43
15.23,0.03,1485.58
15.25,0.03,1484.72
15.27,0.03,1485.86
15.29,0.03,1470.87
15.31,0.02,1499.42
15.33,0.03,1471.72
15.35,0.03,1485.58
15.38,0.03,1485.58
15.4,0.03,1486.43
15.42,0.03,1484.72
15.44,0.03,1485.58
15.46,0.03,1485.01
15.48,0.03,1486.15
15.5,0.03,1484.72
15.52,0.03,1472.85
15.54,0.03,1485.58
15.56,0.03,1484.72
15.58,0.03,1486.43
15.6,0.03,1485.29
15.63,0.03,1485.86
15.65,0.03,1484.72
15.67,0.03,1486.43
15.69,0.03,1484.72
15.71,0.03,1485.58
15.73,0.02,1500.58
15.75,0.03,1470.59
15.77,0.03,1486.43
15.79,0.03,1484.72
15.81,0.03,1485.58
15.83,0.03,1485.86
15.85,0.03,1485.29
15.87,0.03,1485.58
15.9,0.03,1486.43
15.92,0.03,1484.72
15.94,0.03,1484.72
15.96,0.03,1487.29
15.98,0.03,1484.72
16.0,0.03,1486.43
16.02,0.03,1470.31
16.04,0.02,1499.42
16.06,0.03,1471.72
16.08,0.03,1485.86
16.1,0.03,1484.72
16.12,0.03,1485.01
16.14,0.03,1472.29
16.17,0.03,1485.29
16.19,0.03,1485.86
16.21,0.03,1485.58
16.23,0.03,1486.15
16.25,0.03,1470.87
16.27,0.03,1485.29
16.29,0.03,1485.29
16.31,0.03,1471.44
16.33,0.03,1484.44
16.35,0.03,1486.15
16.37,0.03,1471.72
16.39,0.03,1471.15
16.41,0.03,1472.0
16.44,0.03,1485.58
16.46,0.03,1484.15
16.48,0.03,1471.72
16.5,0.03,1471.44
16.52,0.03,1484.15
16.54,0.03,1472.29
16.56,0.03,1471.15
16.58,0.03,1471.15
16.6,0.03,1472.0
16.62,0.03,1471.15
16.64,0.03,1471.15
16.66,0.03,1470.59
16.69,0.03,1485.29
16.71,0.04,1456.73
16.73,0.04,1456.73
16.75,0.03,1471.15
16.77,0.03,1485.58
16.79,0.03,1471.15
16.81,0.03,1471.44
16.83,0.03,1471.15
16.85,0.03,1485.29
16.87,0.03,1471.72
16.89,0.03,1471.44
16.91,0.03,1484.15
16.93,0.03,1471.72
16.96,0.03,1485.01
16.98,0.03,1471.72
17.0,0.03,1471.15
17.02,0.03,1486.43
17.04,0.03,1470.31
17.06,0.03,1485.01
17.08,0.03,1471.72
17.1,0.03,1485.01
17.12,0.03,1471.72
17.14,0.03,1472.0
17.16,0.03,1470.02
17.18,0.03,1486.15
17.2,0.03,1471.72
17.23,0.03,1470.31
17.25,0.03,1485.58
17.27,0.03,1485.86
17.29,0.03,1470.87
17.31,0.03,1472.0
17.33,0.03,1483.58
17.35,0.03,1472.29
17.37,0.03,1485.58
17.39,0.03,1472.0
17.41,0.03,1484.44
17.43,0.03,1471.44
17.45,0.03,1485.01
17.47,0.03,1471.15
17.5,0.03,1471.44
17.52,0.03,1485.29
17.54,0.03,1471.72
17.56,0.03,1471.15
17.58,0.03,1471.15
17.6,0.03,1485.01
17.62,0.03,1471.15
17.64,0.03,1472.57
17.66,0.03,1470.31
17.68,0.03,1471.72
17.7,0.03,1470.59
17.72,0.03,1470.59
17.75,0.03,1472.57
17.77,0.03,1471.15
17.79,0.03,1470.31
17.81,0.03,1470.59
17.83,0.03,1471.44
17.85,0.03,1471.44
17.87,0.03,1470.87
17.89,0.03,1470.87
17.91,0.03,1471.72
17.93,0.03,1471.15
17.95,0.03,1471.15
17.97,0.03,1471.15
18.0,0.03,1472.0
18.02,0.03,1471.15
18.04,0.03,1470.31
18.06,0.03,1471.15
18.08,0.03,1472.0
18.1,0.03,1471.15
18.12,0.03,1470.31
18.14,0.03,1470.59
18.16,0.03,1472.0
18.18,0.03,1469.74
18.2,0.04,1457.85
18.22,0.03,1471.15
18.25,0.03,1485.01
18.27,0.04,1457.29
18.29,0.03,1472.0
18.31,0.03,1470.31
18.33,0.03,1484.72
18.35,0.03,1471.44
18.37,0.03,1472.57
18.39,0.03,1470.31
18.41,0.03,1472.0
18.43,0.03,1471.15
18.45,0.03,1471.15
18.47,0.03,1484.15
18.5,0.03,1471.44
18.51,0.03,1472.29
18.54,0.03,1471.15
18.56,0.03,1484.15
18.58,0.03,1471.72
18.6,0.03,1472.0
18.62,0.03,1471.15
18.64,0.03,1484.15
18.66,0.03,1472.57
18.68,0.03,1470.31
18.7,0.03,1485.01
18.72,0.03,1471.72
18.74,0.03,1485.58
18.76,0.03,1472.0
18.79,0.03,1470.31
18.81,0.03,1485.58
18.83,0.03,1484.44
18.85,0.03,1473.14
18.87,0.03,1471.15
18.89,0.03,1484.72
18.91,0.03,1472.0
18.93,0.03,1471.15
18.95,0.03,1471.15
18.97,0.03,1484.72
18.99,0.03,1471.15
19.01,0.03,1470.87
19.04,0.03,1470.87
19.06,0.03,1472.57
19.08,0.03,1471.15
19.1,0.03,1471.15
19.12,0.03,1471.15
19.14,0.03,1484.15
19.16,0.03,1470.02
19.18,0.04,1458.41
19.2,0.03,1485.58
19.22,0.03,1471.72
19.24,0.03,1470.59
19.26,0.03,1471.15
19.29,0.03,1472.0
19.31,0.03,1484.72
19.33,0.03,1471.15
19.35,0.03,1471.15
19.37,0.03,1472.0
19.39,0.03,1484.72
19.41,0.03,1471.15
19.43,0.03,1471.15
19.45,0.03,1471.15
19.47,0.03,1485.58
19.49,0.03,1471.15
19.51,0.03,1472.0
19.53,0.03,1484.15
19.56,0.03,1472.0
19.58,0.03,1471.44
