tempo,RPM
14.389,990.0
14.399,990.0
14.409,1020.0
14.419,990.0
14.429,990.0
14.439,1020.0
14.449,990.0
14.459,1020.0
14.469,990.0
14.479,990.0
14.489,990.0
14.499,1020.0
14.509,990.0
14.519,1020.0
14.529,990.0
14.539,990.0
14.55,990.0
14.559,1020.0
14.569,1020.0
14.579,990.0
14.589,990.0
14.599,960.0
14.609,1020.0
14.619,1020.0
14.629,1020.0
14.639,990.0
14.649,990.0
14.659,990.0
14.669,990.0
14.679,1020.0
14.689,990.0
14.699,1020.0
14.709,990.0
14.72,990.0
14.729,990.0
14.739,990.0
14.749,1020.0
14.759,1020.0
14.769,990.0
14.779,990.0
14.789,990.0
14.799,1020.0
14.809,1020.0
14.819,990.0
14.829,990.0
14.839,960.0
14.849,1020.0
14.859,1020.0
14.869,990.0
14.879,990.0
14.889,1020.0
14.899,990.0
14.909,990.0
14.919,1020.0
14.929,990.0
14.939,990.0
14.949,1020.0
14.959,990.0
14.969,990.0
14.979,990.0
14.989,1020.0
14.999,1020.0
15.009,990.0
15.02,990.0
15.029,990.0
15.039,1020.0
15.049,990.0
15.059,1020.0
15.069,990.0
15.079,990.0
15.089,990.0
15.099,990.0
15.109,1020.0
15.119,1020.0
15.129,990.0
15.139,990.0
15.149,990.0
15.159,1020.0
15.169,990.0
15.179,1020.0
15.19,990.0
15.199,990.0
15.209,990.0
15.219,990.0
15.229,1020.0
15.239,1020.0
15.249,990.0
15.259,990.0
15.269,990.0
15.279,1020.0
15.289,990.0
15.299,990.0
15.309,1020.0
15.319,990.0
15.329,990.0
15.339,990.0
15.349,1020.0
15.36,1020.0
15.369,990.0
15.379,990.0
15.389,990.0
15.399,1020.0
15.409,1020.0
15.419,990.0
15.429,990.0
15.439,990.0
15.449,990.0
15.459,990.0
15.469,1020.0
15.479,1020.0
15.489,990.0
15.499,990.0
15.509,1020.0
15.519,990.0
15.799,1020.0
15.809,990.0
15.819,1020.0
15.83,990.0
15.839,1020.0
15.849,990.0
15.859,990.0
15.869,990.0
15.879,1020.0
15.889,990.0
15.899,1020.0
15.909,990.0
15.919,990.0
15.929,990.0
15.939,990.0
15.949,1020.0
15.959,1020.0
15.969,990.0
15.979,990.0
15.989,990.0
16.0,1020.0
16.009,1020.0
16.019,990.0
16.029,990.0
16.039,990.0
16.049,990.0
16.059,990.0
16.069,1020.0
16.079,1020.0
16.089,990.0
16.099,990.0
16.109,1020.0
16.119,990.0
16.129,990.0
16.139,1020.0
16.149,990.0
16.159,990.0
16.169,990.0
16.179,1020.0
16.189,990.0
16.199,1020.0
16.209,990.0
16.219,990.0
16.229,1020.0
16.239,990.0
16.249,1020.0
16.259,990.0
16.269,990.0
16.279,990.0
16.289,990.0
16.3,1020.0
16.309,990.0
16.319,1020.0
16.329,990.0
16.339,990.0
16.349,1020.0
16.359,990.0
16.369,1020.0
16.379,990.0
