tempo,PWM,RPM
5.219,107.941,1350.0
5.229,108.111,1350.0
5.239,92.612,1380.0
5.249,108.349,1350.0
5.259,108.519,1350.0
5.269,93.02,1380.0
5.279,108.757,1350.0
5.289,108.927,1350.0
5.299,109.097,1350.0
5.309,93.598,1380.0
5.319,109.335,1350.0
5.329,93.836,1380.0
5.339,109.573,1350.0
5.349,109.743,1350.0
5.359,109.913,1350.0
5.369,94.414,1380.0
5.379,94.482,1380.0
5.389,110.219,1350.0
5.399,110.389,1350.0
5.409,110.559,1350.0
5.42,95.06,1380.0
5.429,110.797,1350.0
5.439,110.967,1350.0
5.449,95.468,1380.0
5.459,95.536,1380.0
5.469,111.273,1350.0
5.479,95.774,1380.0
5.489,111.511,1350.0
5.499,111.681,1350.0
5.509,96.182,1380.0
5.519,111.919,1350.0
5.529,96.42,1380.0
5.539,96.488,1380.0
5.549,112.225,1350.0
5.559,112.395,1350.0
5.569,96.896,1380.0
5.579,112.633,1350.0
5.59,97.134,1380.0
5.599,112.871,1350.0
5.609,97.372,1380.0
5.619,97.44,1380.0
5.629,113.177,1350.0
5.639,97.678,1380.0
5.649,113.415,1350.0
5.659,97.916,1380.0
5.669,113.653,1350.0
5.679,98.154,1380.0
5.689,98.222,1380.0
5.699,113.959,1350.0
5.709,98.46,1380.0
5.719,98.528,1380.0
5.729,98.596,1380.0
5.739,114.333,1350.0
5.749,114.503,1350.0
5.76,99.004,1380.0
5.769,99.072,1380.0
5.779,114.809,1350.0
5.789,99.31,1380.0
5.799,99.378,1380.0
5.809,99.446,1380.0
5.819,99.514,1380.0
5.829,115.251,1350.0
5.839,99.752,1380.0
5.849,99.82,1380.0
5.859,115.557,1350.0
5.869,115.727,1350.0
5.879,100.228,1380.0
5.889,84.627,1410.0
5.899,100.262,1380.0
5.909,115.999,1350.0
5.919,116.169,1350.0
5.929,100.67,1380.0
5.939,100.738,1380.0
5.949,100.806,1380.0
5.959,100.874,1380.0
5.969,100.942,1380.0
5.979,116.679,1350.0
5.989,101.18,1380.0
5.999,101.248,1380.0
