PWM,RPM
104.906,1410.0
104.872,1410.0
104.838,1410.0
120.473,1380.0
120.541,1380.0
104.94,1410.0
104.906,1410.0
120.541,1380.0
104.94,1410.0
104.906,1410.0
104.872,1410.0
120.507,1380.0
120.575,1380.0
104.974,1410.0
104.94,1410.0
104.906,1410.0
120.541,1380.0
104.94,1410.0
104.906,1410.0
120.541,1380.0
104.94,1410.0
104.906,1410.0
120.541,1380.0
104.94,1410.0
120.575,1380.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
104.94,1410.0
104.906,1410.0
120.541,1380.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
104.94,1410.0
120.575,1380.0
104.974,1410.0
104.94,1410.0
120.575,1380.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
104.94,1410.0
120.575,1380.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
104.94,1410.0
120.575,1380.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
104.94,1410.0
120.575,1380.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
104.94,1410.0
120.575,1380.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
104.94,1410.0
120.575,1380.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
104.94,1410.0
120.575,1380.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
