rpm
"Tempo: 41.711532 s, Velocidade: 3361.19 RPM"
"Tempo: 41.813770 s, Velocidade: 3362.68 RPM"
"Tempo: 41.915973 s, Velocidade: 3361.06 RPM"
"Tempo: 42.018188 s, Velocidade: 3363.47 RPM"
"Tempo: 42.120403 s, Velocidade: 3360.53 RPM"
"Tempo: 42.222640 s, Velocidade: 3359.87 RPM"
"Tempo: 42.324836 s, Velocidade: 3361.19 RPM"
"Tempo: 42.427066 s, Velocidade: 3360.00 RPM"
"Tempo: 42.529262 s, Velocidade: 3364.12 RPM"
"Tempo: 42.631488 s, Velocidade: 3363.20 RPM"
"Tempo: 42.733703 s, Velocidade: 3363.47 RPM"
"Tempo: 42.835937 s, Velocidade: 3362.94 RPM"
"Tempo: 42.938163 s, Velocidade: 3363.07 RPM"
"Tempo: 43.040378 s, Velocidade: 3363.47 RPM"
"Tempo: 43.142593 s, Velocidade: 3366.53 RPM"
"Tempo: 43.244834 s, Velocidade: 3362.54 RPM"
"Tempo: 43.347034 s, Velocidade: 3363.99 RPM"
"Tempo: 43.449237 s, Velocidade: 3363.99 RPM"
"Tempo: 43.551460 s, Velocidade: 3363.20 RPM"
"Tempo: 43.653690 s, Velocidade: 3365.87 RPM"
"Tempo: 43.755889 s, Velocidade: 3364.12 RPM"
"Tempo: 43.858081 s, Velocidade: 3364.26 RPM"
"Tempo: 43.960300 s, Velocidade: 3366.27 RPM"
"Tempo: 44.062515 s, Velocidade: 3366.40 RPM"
"Tempo: 44.164707 s, Velocidade: 3364.26 RPM"
"Tempo: 44.266941 s, Velocidade: 3365.87 RPM"
"Tempo: 44.369159 s, Velocidade: 3366.27 RPM"
"Tempo: 44.471378 s, Velocidade: 3366.27 RPM"
"Tempo: 44.573604 s, Velocidade: 3366.14 RPM"
"Tempo: 44.675827 s, Velocidade: 3366.14 RPM"
"Tempo: 44.778053 s, Velocidade: 3369.07 RPM"
"Tempo: 44.880264 s, Velocidade: 3363.60 RPM"
"Tempo: 44.982475 s, Velocidade: 3366.53 RPM"
"Tempo: 45.084720 s, Velocidade: 3365.48 RPM"
"Tempo: 45.186927 s, Velocidade: 3366.66 RPM"
"Tempo: 45.289138 s, Velocidade: 3366.53 RPM"
"Tempo: 45.391338 s, Velocidade: 3366.93 RPM"
"Tempo: 45.493541 s, Velocidade: 3366.93 RPM"
"Tempo: 45.595741 s, Velocidade: 3366.93 RPM"
"Tempo: 45.697959 s, Velocidade: 3366.27 RPM"
"Tempo: 45.800209 s, Velocidade: 3365.35 RPM"
"Tempo: 45.902412 s, Velocidade: 3366.80 RPM"
"Tempo: 46.004604 s, Velocidade: 3367.19 RPM"
"Tempo: 46.106826 s, Velocidade: 3369.07 RPM"
"Tempo: 46.209018 s, Velocidade: 3367.19 RPM"
"Tempo: 46.311237 s, Velocidade: 3369.34 RPM"
"Tempo: 46.413482 s, Velocidade: 3368.28 RPM"
"Tempo: 46.515689 s, Velocidade: 3366.80 RPM"
"Tempo: 46.617923 s, Velocidade: 3368.68 RPM"
"Tempo: 46.720123 s, Velocidade: 3366.93 RPM"
"Tempo: 46.822345 s, Velocidade: 49235180.00 RPM"
"Tempo: 46.924766 s, Velocidade: 3368.35 RPM"
"Tempo: 47.026992 s, Velocidade: 3372.01 RPM"
"Tempo: 47.129203 s, Velocidade: 3369.47 RPM"
"Tempo: 47.231433 s, Velocidade: 3368.94 RPM"
"Tempo: 47.333656 s, Velocidade: 3369.07 RPM"
"Tempo: 47.435897 s, Velocidade: 3371.48 RPM"
"Tempo: 47.538097 s, Velocidade: 3369.86 RPM"
"Tempo: 47.640335 s, Velocidade: 3371.48 RPM"
"Tempo: 47.742534 s, Velocidade: 3369.86 RPM"
"Tempo: 47.844757 s, Velocidade: 3372.14 RPM"
"Tempo: 47.946998 s, Velocidade: 3368.41 RPM"
"Tempo: 48.049190 s, Velocidade: 3370.13 RPM"
"Tempo: 48.151409 s, Velocidade: 3366.40 RPM"
"Tempo: 48.253627 s, Velocidade: 3369.20 RPM"
"Tempo: 48.355842 s, Velocidade: 3369.34 RPM"
"Tempo: 48.458068 s, Velocidade: 3369.07 RPM"
"Tempo: 48.560276 s, Velocidade: 3366.66 RPM"
"Tempo: 48.662494 s, Velocidade: 3369.20 RPM"
"Tempo: 48.764736 s, Velocidade: 3368.54 RPM"
"Tempo: 48.866958 s, Velocidade: 3369.07 RPM"
"Tempo: 48.969150 s, Velocidade: 3367.19 RPM"
"Tempo: 49.071388 s, Velocidade: 3368.68 RPM"
"Tempo: 49.173587 s, Velocidade: 3363.99 RPM"
"Tempo: 49.275806 s, Velocidade: 3363.33 RPM"
"Tempo: 49.378032 s, Velocidade: 3351.46 RPM"
"Tempo: 49.480266 s, Velocidade: 3333.46 RPM"
"Tempo: 49.582462 s, Velocidade: 3328.90 RPM"
"Tempo: 49.684661 s, Velocidade: 3331.83 RPM"
"Tempo: 49.786888 s, Velocidade: 3342.53 RPM"
"Tempo: 49.889106 s, Velocidade: 3351.59 RPM"
"Tempo: 49.991340 s, Velocidade: 3354.14 RPM"
