tensao
Tempo (ms): 29761 | Velocidade (RPM): 1059.46
Tempo (ms): 29862 | Velocidade (RPM): 44.42
Tempo (ms): 29964 | Velocidade (RPM): 0.00
Tempo (ms): 30065 | Velocidade (RPM): 0.00
Tempo (ms): 30166 | Velocidade (RPM): 0.00
Tempo (ms): 30267 | Velocidade (RPM): 0.00
Tempo (ms): 30368 | Velocidade (RPM): 0.00
Tempo (ms): 30469 | Velocidade (RPM): 0.00
Tempo (ms): 30570 | Velocidade (RPM): 0.00
Tempo (ms): 30671 | Velocidade (RPM): 0.00
Tempo (ms): 30772 | Velocidade (RPM): 0.00
Tempo (ms): 30873 | Velocidade (RPM): 0.00
Tempo (ms): 30974 | Velocidade (RPM): 0.00
Tempo (ms): 31075 | Velocidade (RPM): 0.00
Tempo (ms): 31176 | Velocidade (RPM): 0.00
Tempo (ms): 31278 | Velocidade (RPM): 0.00
Tempo (ms): 31379 | Velocidade (RPM): 0.00
Tempo (ms): 31479 | Velocidade (RPM): 0.00
Tempo (ms): 31581 | Velocidade (RPM): 0.00
Tempo (ms): 31682 | Velocidade (RPM): 0.00
Tempo (ms): 31782 | Velocidade (RPM): 0.00
Tempo (ms): 31884 | Velocidade (RPM): 0.00
Tempo (ms): 31985 | Velocidade (RPM): 0.00
Tempo (ms): 32086 | Velocidade (RPM): 0.00
Tempo (ms): 32187 | Velocidade (RPM): 0.00
Tempo (ms): 32288 | Velocidade (RPM): 0.00
Tempo (ms): 32389 | Velocidade (RPM): 0.00
Tempo (ms): 32490 | Velocidade (RPM): 0.00
Tempo (ms): 32591 | Velocidade (RPM): 2.97
Tempo (ms): 32693 | Velocidade (RPM): 8.90
Tempo (ms): 32793 | Velocidade (RPM): 23.73
Tempo (ms): 32894 | Velocidade (RPM): 385.39
Tempo (ms): 32996 | Velocidade (RPM): 1566.88
Tempo (ms): 33097 | Velocidade (RPM): 2647.72
Tempo (ms): 33199 | Velocidade (RPM): 3755.17
Tempo (ms): 33300 | Velocidade (RPM): 4922.00
Tempo (ms): 33402 | Velocidade (RPM): 6062.01
Tempo (ms): 33504 | Velocidade (RPM): 7155.50
Tempo (ms): 33605 | Velocidade (RPM): 8174.15
Tempo (ms): 33708 | Velocidade (RPM): 9115.89
Tempo (ms): 33809 | Velocidade (RPM): 9935.08
Tempo (ms): 33911 | Velocidade (RPM): 10618.53
Tempo (ms): 34014 | Velocidade (RPM): 11198.06
Tempo (ms): 34116 | Velocidade (RPM): 11690.52
Tempo (ms): 34219 | Velocidade (RPM): 12096.02
Tempo (ms): 34321 | Velocidade (RPM): 12367.66
Tempo (ms): 34423 | Velocidade (RPM): 12578.59
Tempo (ms): 34526 | Velocidade (RPM): 12730.77
Tempo (ms): 34628 | Velocidade (RPM): 12794.17
Tempo (ms): 34731 | Velocidade (RPM): 12782.96
Tempo (ms): 34833 | Velocidade (RPM): 12698.07
Tempo (ms): 34935 | Velocidade (RPM): 12567.84
Tempo (ms): 35038 | Velocidade (RPM): 12361.86
Tempo (ms): 35140 | Velocidade (RPM): 12063.41
Tempo (ms): 35243 | Velocidade (RPM): 11685.04
Tempo (ms): 35345 | Velocidade (RPM): 11214.21
Tempo (ms): 35447 | Velocidade (RPM): 10645.10
Tempo (ms): 35550 | Velocidade (RPM): 9946.34
Tempo (ms): 35651 | Velocidade (RPM): 9110.53
Tempo (ms): 35753 | Velocidade (RPM): 8129.44
Tempo (ms): 35855 | Velocidade (RPM): 7035.30
Tempo (ms): 35956 | Velocidade (RPM): 5792.38
Tempo (ms): 36058 | Velocidade (RPM): 4430.70
Tempo (ms): 36159 | Velocidade (RPM): 2989.12
Tempo (ms): 36260 | Velocidade (RPM): 1508.99
Tempo (ms): 36362 | Velocidade (RPM): 299.06
Tempo (ms): 36463 | Velocidade (RPM): 0.00
Tempo (ms): 36564 | Velocidade (RPM): 0.00
Tempo (ms): 36666 | Velocidade (RPM): 0.00
Tempo (ms): 36766 | Velocidade (RPM): 0.00
Tempo (ms): 36868 | Velocidade (RPM): 0.00
Tempo (ms): 36969 | Velocidade (RPM): 0.00
Tempo (ms): 37069 | Velocidade (RPM): 0.00
Tempo (ms): 37171 | Velocidade (RPM): 0.00
Tempo (ms): 37272 | Velocidade (RPM): 0.00
Tempo (ms): 37372 | Velocidade (RPM): 0.00
Tempo (ms): 37474 | Velocidade (RPM): 0.00
Tempo (ms): 37575 | Velocidade (RPM): 0.00
Tempo (ms): 37676 | Velocidade (RPM): 0.00
Tempo (ms): 37777 | Velocidade (RPM): 0.00
Tempo (ms): 37878 | Velocidade (RPM): 0.00
Tempo (ms): 37979 | Velocidade (RPM): 0.00
Tempo (ms): 38080 | Velocidade (RPM): 0.00
Tempo (ms): 38181 | Velocidade (RPM): 0.00
Tempo (ms): 38282 | Velocidade (RPM): 0.00
Tempo (ms): 38383 | Velocidade (RPM): 0.00
Tempo (ms): 38484 | Velocidade (RPM): 0.00
Tempo (ms): 38586 | Velocidade (RPM): 0.00
Tempo (ms): 38686 | Velocidade (RPM): 0.00
